code,pred_date,pred_return_FreTS,pred_return_PatchTST,pred_return_WPMixer,pred_return_iTransformer,rank_FreTS,rank_PatchTST,rank_WPMixer,rank_iTransformer,rank_sum,rank_sum_rank
600573.SH,2025-12-30,0.006585816387087107,0.0028438614681363106,0.005298279691487551,-0.008840984664857388,250.0,387.0,232.0,1296.0,2165.0,141.0
603131.SH,2025-12-30,0.009090389125049114,0.007459287066012621,0.004464682191610336,-0.01200003083795309,114.0,77.0,317.0,1663.0,2171.0,142.0
002820.SZ,2025-12-30,0.0034241443499922752,0.0014394912868738174,0.003676994703710079,-0.0036572818644344807,664.0,625.0,423.0,475.0,2187.0,143.0
603901.SH,2025-12-30,-0.0016700136475265026,0.007791663054376841,0.006385401822626591,-0.0006894596735946834,1884.0,66.0,160.0,77.0,2187.0,143.0
000953.SZ,2025-12-30,0.0013829063391312957,0.0020221988670527935,0.003416144521906972,0.0015400955453515053,1191.0,509.0,467.0,21.0,2188.0,145.0
002214.SZ,2025-12-30,0.0036824338603764772,0.007041665259748697,0.009005142375826836,-0.009911873377859592,615.0,93.0,73.0,1411.0,2192.0,146.0
603818.SH,2025-12-30,0.0060561890713870525,0.0005555147072300315,0.0029115662910044193,-0.0036332951858639717,293.0,873.0,559.0,467.0,2192.0,146.0
002982.SZ,2025-12-30,0.0062612262554466724,0.0010415214346721768,0.0010754077229648829,-0.0013648446183651686,272.0,733.0,1053.0,142.0,2200.0,148.0
603939.SH,2025-12-30,0.010039344429969788,0.0008608400821685791,0.0005672203842550516,-0.0010862131603062153,83.0,776.0,1245.0,113.0,2217.0,149.0
600165.SH,2025-12-30,0.011796677485108376,0.009280317462980747,0.009326952509582043,-0.016743993386626244,54.0,42.0,68.0,2060.0,2224.0,150.0
002029.SZ,2025-12-30,0.007703825831413269,0.010860004462301731,0.01264774240553379,-0.01610776036977768,168.0,27.0,30.0,2002.0,2227.0,151.0
002136.SZ,2025-12-30,0.00783844105899334,0.002017810707911849,0.01113976538181305,-0.010893570259213448,159.0,512.0,44.0,1515.0,2230.0,152.0
603559.SH,2025-12-30,0.003961736802011728,0.001977063249796629,0.0008280163747258484,0.00677238404750824,563.0,522.0,1150.0,4.0,2239.0,153.0
002159.SZ,2025-12-30,0.005946303252130747,0.0010961918160319328,0.0026788346003741026,-0.004256899002939463,308.0,721.0,624.0,591.0,2244.0,154.0
000558.SZ,2025-12-30,0.006217019632458687,0.0009460909059271216,0.003157536732032895,-0.004839051980525255,278.0,752.0,517.0,715.0,2262.0,155.0
002440.SZ,2025-12-30,0.002004134701564908,0.0019639856182038784,0.0048792073503136635,-0.0035163462162017822,1017.0,526.0,275.0,448.0,2266.0,156.0
603828.SH,2025-12-30,0.00545150600373745,0.00916216243058443,0.014150616712868214,-0.014054970815777779,360.0,45.0,23.0,1843.0,2271.0,157.0
000882.SZ,2025-12-30,0.008173935115337372,0.0026466629933565855,0.0028722258284687996,-0.007695384323596954,143.0,410.0,570.0,1150.0,2273.0,158.0
002255.SZ,2025-12-30,0.0008397025521844625,0.00957240629941225,0.009599406272172928,-0.005606455262750387,1328.0,38.0,65.0,846.0,2277.0,159.0
600834.SH,2025-12-30,0.006435437593609095,0.0021560690365731716,0.001650795922614634,-0.0046692341566085815,257.0,481.0,858.0,681.0,2277.0,159.0
000590.SZ,2025-12-30,0.016813863068819046,0.0015717395581305027,0.0037064289208501577,-0.00839174073189497,20.0,592.0,419.0,1249.0,2280.0,161.0
600151.SH,2025-12-30,0.0068883635103702545,0.009872088208794594,0.018237819895148277,-0.016166651621460915,222.0,36.0,12.0,2010.0,2280.0,161.0
600037.SH,2025-12-30,0.005781869404017925,0.00085209880489856,0.00105086003895849,-0.001133080804720521,330.0,780.0,1058.0,118.0,2286.0,163.0
601188.SH,2025-12-30,0.004968143999576569,0.0024945992045104504,0.0016555322799831629,-0.00422694394364953,418.0,431.0,857.0,581.0,2287.0,164.0
600990.SH,2025-12-30,0.0060082655400037766,0.0060750641860067844,0.006751701235771179,-0.012646134942770004,301.0,126.0,140.0,1731.0,2298.0,165.0
603602.SH,2025-12-30,0.004238266032189131,0.002547680400311947,0.001445642439648509,-0.0035591227933764458,513.0,420.0,911.0,455.0,2299.0,166.0
002216.SZ,2025-12-30,0.006678835488855839,0.000565270718652755,0.0019138500792905688,-0.003274692688137293,239.0,869.0,798.0,415.0,2321.0,167.0
600125.SH,2025-12-30,0.005002329591661692,0.0017660196172073483,0.0016388071235269308,-0.0037888716906309128,412.0,554.0,860.0,496.0,2322.0,168.0
002381.SZ,2025-12-30,0.0023704064078629017,0.001719590392895043,0.002876866376027465,-0.002494788495823741,918.0,565.0,567.0,279.0,2329.0,169.0
002728.SZ,2025-12-30,0.002613575430586934,0.003353405511006713,0.008185738697648048,-0.0070234499871730804,853.0,319.0,92.0,1069.0,2333.0,170.0
600463.SH,2025-12-30,0.008319617249071598,0.002771369880065322,0.0031257334630936384,-0.008589737117290497,138.0,395.0,526.0,1274.0,2333.0,170.0
